id	tier	corpus	work	reference	sanskrit_iast	english_rendering	context_and_limits	verification	family	source_url
31	B	Mahāpurāṇa	Liṅga Purāṇa	1.10.22	śrutismṛtibhyāṃ vihito dharmo varṇāśramātmakaḥ | śiṣṭācārāviruddhaś ca sa dharmaḥ sādhur ucyate	Sound dharma is taught by śruti and smṛti and is not contrary to the conduct of the virtuous.	This is a qualifying traditionalist criterion, not independent reason alone.	Verified primary Sanskrit	plural_dharma_criteria	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/lip_1_pu.htm
32	B	Mahāpurāṇa	Liṅga Purāṇa	1.61.61–63	āgamād anumānāc ca pratyakṣād upapattitaḥ | parīkṣya nipuṇaṃ buddhyā śraddhātavyaṃ vipaścitā ... cakṣuḥ śāstraṃ jalaṃ lekhyaṃ gaṇitaṃ ... pañcaite hetavo jñeyā jyotirmānavinirṇaye	The learned should examine carefully through scripture, inference, observation, reasoning, writing and calculation when deciding astronomical measures.	Domain-specific epistemology: astronomy.	Verified primary Sanskrit	astronomy_multiple_evidence	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/lip_1_pu.htm
33	C	Mahāpurāṇa	Garuḍa Purāṇa	1.109.4–5	calaty ekena pādena tiṣṭhaty ekena buddhimān | na parīkṣya paraṃ sthānaṃ pūrvam āyatanaṃ tyajet	A wise person does not leave one footing before examining the next.	Practical prudence, not a theological rule.	Verified primary Sanskrit	practical_examination	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/garup1_u.htm
34	C	Mahāpurāṇa	Kūrma Purāṇa	2.33.152	yo 'rthaṃ vicārya yuktātmā śrāvayed brāhmaṇān śucīn | sa doṣakañcukaṃ tyaktvā yāti devaṃ maheśvaram	One who carefully considers the meaning and teaches it with disciplined, pure scholars sheds error.	Reflection on meaning is explicit, but the passage remains teacher-centered.	Verified primary Sanskrit	consider_meaning	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/kurmp2_u.htm
35	B	Upapurāṇa	Narasimha Purāṇa	1.64.78–79	bahutvād iha śāstrāṇāṃ jñānatattvaṃ sudurlabham | āloḍya sarvaśāstrāṇi vicārya ca punaḥ punaḥ || idam ekaṃ suniṣpannaṃ dhyeyo nārāyaṇaḥ sadā	Because scriptures are numerous, truth is hard to obtain; churn all the scriptures and reflect repeatedly.	Method is comparative; conclusion is explicitly Vaiṣṇava.	Verified primary Sanskrit	alodya_all_scriptures	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/narsippu.htm
36	A	Mahāpurāṇa	Skanda Purāṇa, Nāgarakhaṇḍa	6.1.278.88	guror apy avaliptasya kāryākāryam ajānataḥ | utpathe vartamānasya parityāgo vidhīyate	A proud guru who cannot distinguish right and wrong and remains on a wrong path is to be abandoned.	Later Purāṇic witness of the Mahābhārata maxim.	Verified web Sanskrit; parallel family	bad_guru_correction	https://www.wisdomlib.org/hinduism/book/skanda-purana-sanskrit/d/doc826349.html
37	B	Mahāpurāṇa (quoted)	Skanda Purāṇa, quoted in Hari-bhakti-vilāsa	3.127	āloḍya sarvaśāstrāṇi vicārya ca punaḥ punaḥ | idam eva suniṣpannaṃ dhyeyo nārāyaṇaḥ sadā	Having churned all scriptures and reflected repeatedly, the conclusion is to contemplate Nārāyaṇa.	Quoted witness; close parallel to Narasimha Purāṇa.	Verified quotation; source-location dependent	alodya_all_scriptures	https://www.wisdomlib.org/hinduism/book/hari-bhakti-vilasa-sanskrit-text/d/doc498395.html
38	B	Mahāpurāṇa	Śiva Purāṇa	7.2.15.44	tasmād yasyaiva saṃparkāt prabodhānandasaṃbhavaḥ | guruṃ tam eva vṛṇuyān nāparaṃ matimān naraḥ	A discerning person should choose as guru the one whose company produces awakening and joy.	Outcome-based criterion for choosing a teacher.	Verified primary Sanskrit	shiva_test_teacher	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/sivap7_u.htm
39	A	Mahāpurāṇa	Śiva Purāṇa	7.2.15.45–47	sa śiṣyair vinayācāracaturair ucito guruḥ | yāvad vijñāyate tāvat sevanīyo mumukṣubhiḥ ... na tu tattvaṃ tyajej jātu ... yatrānandaḥ prabodho vā nālpam apy upalabhyate | vatsarād api śiṣyeṇa so 'nyaṃ gurum upāśrayet	A seeker should assess the guru, never abandon truth, and if after a year no awakening or joy appears at all, seek another guru.	Very direct, but the preceding chapter also strongly praises obedience; both contexts belong together.	Verified primary Sanskrit	shiva_test_teacher	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/sivap7_u.htm
40	B	Mahāpurāṇa	Brahmāṇḍa Purāṇa	1.32.31–32	vṛddhāś cālolupāś caiva ātmavanto hy adāmbhikāḥ ... svayam ācarate yasmād ācāraṃ sthāpayaty api	Teachers are mature, non-greedy, self-controlled, sincere, and practice the conduct they establish.	Parallel of Liṅga Purāṇa teacher-definition.	Verified primary Sanskrit; parallel family	qualified_teacher_linga	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/brpu1_u.htm
41	C	Mahāpurāṇa	Mārkaṇḍeya Purāṇa	10.27–31	vedavādaratā mūḍhāḥ karmaṇy eva pravartakāḥ ... na vidanti paraṃ tattvam	Those absorbed only in Vedic ritual words and action do not thereby know the highest truth.	Narrative critique of ritualism; excerpt, and not a rejection of the Veda itself.	Verified primary Sanskrit	learning_not_realization	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/marp_u.htm
42	A	Mahāpurāṇa	Bhāgavata Purāṇa	10.33.30–31	naitat samācarej jātu manasāpi hy anīśvaraḥ ... īśvarāṇāṃ vacaḥ satyaṃ tathaivācaritaṃ kvacit | teṣāṃ yat svavacoyuktaṃ buddhimāṃs tat samācaret	One without divine mastery must not imitate extraordinary divine acts; the intelligent follow only conduct consistent with the deity’s own teaching.	Directly rejects “a god did it, therefore imitate it.”	Verified primary Sanskrit	no_divine_imitation	https://vedabase.io/en/library/sb/10/33/30/
43	A	Mahāpurāṇa	Bhāgavata Purāṇa	8.20.1–4	balir evaṃ gṛhapatiḥ kulācāryeṇa bhāṣitaḥ | tūṣṇīṃ bhūtvā kṣaṇaṃ rājan uvācāvahito gurum ... na hy asatyāt paro 'dharmaḥ	Bali pauses and considers his family guru’s advice, then rejects it because he judges falsehood the greater adharma.	Narrative dissent from Śukra, grounded in truthfulness.	Verified primary Sanskrit	bali_rejects_guru	https://vedabase.io/en/library/sb/8/20/1/
44	A	Mahāpurāṇa	Bhāgavata Purāṇa	8.20.14–16	śrī-balir uvāca ... nāhaṃ bibhemi nirayān nādhanyād asukhārṇavāt | na sthānacyavanān mṛtyor yathā viprapralambhanāt	Bali explains that he fears deceiving a brāhmaṇa more than hell, poverty, loss of position, or death, so he will not retract his promise.	Continuation of the Bali episode; truth and vow override the teacher’s prudential command.	Verified primary Sanskrit	bali_rejects_guru	https://vedabase.io/en/library/sb/8/20/14/
45	A	Mahāpurāṇa	Bhāgavata Purāṇa	8.22.30	guruṇā bhartsitaḥ śapto jahau satyaṃ na suvrataḥ | chalair ukto mayā dharmo nāyaṃ tyajati satyavāk	Though rebuked and cursed by his guru, the steadfast Bali did not abandon truth.	The divine narrator praises Bali’s refusal to lie.	Verified primary Sanskrit	bali_rejects_guru	https://vedabase.io/en/library/sb/8/22/30/
46	A	Mahāpurāṇa	Bhāgavata Purāṇa	9.13.5	nimeś cacāra dehaṃ svaṃ gurave 'dharmavartine | gurur apy apatad dehe lobhād dharmam ajānataḥ	Nimi condemns his guru for acting contrary to dharma through greed and failing to discern dharma.	Conflict narrative; closely related to the Viṣṇu Purāṇa Nimi story.	Verified primary Sanskrit	nimi_bad_guru	https://vedabase.io/en/library/sb/9/13/5/
47	B	Mahāpurāṇa	Bhāgavata Purāṇa	11.3.21	tasmād guruṃ prapadyeta jijñāsuḥ śreya uttamam | śābde pare ca niṣṇātaṃ brahmaṇy upaśamāśrayam	A seeker should approach a guru deeply grounded in scripture and realization, and established in peace.	Qualification criteria imply that not every claimant is a guru.	Verified primary Sanskrit	qualified_teacher_bhagavata	https://vedabase.io/en/library/sb/11/3/21/
48	B	Mahāpurāṇa	Bhāgavata Purāṇa	11.8.10	aṇubhyaś ca mahadbhyaś ca śāstrebhyaḥ kuśalo naraḥ | sarvataḥ sāram ādadyāt puṣpebhya iva ṣaṭpadaḥ	A skillful person takes the essence from teachings small and great, like a bee taking nectar from many flowers.	Comparative learning from multiple texts.	Verified primary Sanskrit	bee_many_sources	https://vedabase.io/en/library/sb/11/8/10/
49	B	Mahāpurāṇa	Bhāgavata Purāṇa	11.9.24–25	evaṃ gurubhya etebhya eṣā me śikṣitā matiḥ | svātmopaśikṣitāṃ buddhiṃ śṛṇu me ... deho gurur mama viraktivivekahetuḥ	I learned from these many teachers and from my own body and discernment; the body itself became a teacher of detachment.	Avadhūta’s twenty-four teachers and experiential reflection.	Verified primary Sanskrit	many_teachers_experience	https://vedabase.io/en/library/sb/11/9/24/
50	A	Mahāpurāṇa	Bhāgavata Purāṇa	11.9.31	na hy ekasmād guror jñānaṃ susthiraṃ syāt supuṣkalam | brahmaitad advitīyaṃ vai gīyate bahudharṣibhiḥ	Firm and abundant knowledge does not arise from one guru alone; sages express the one reality in many ways.	Directly denies monopoly by one teacher; not a rejection of initiation traditions.	Verified primary Sanskrit	many_gurus	https://vedabase.io/en/library/sb/11/9/31/
51	B	Mahāpurāṇa	Bhāgavata Purāṇa	11.19.17	śrutiḥ pratyakṣam aitihyam anumānaṃ catuṣṭayam | pramāṇeṣv anavasthānād vikalpāt sa virajyate	Scripture, perception, tradition, and inference form a fourfold evidential field; their alternatives can produce dispassion from fixed constructions.	Translation is interpretively difficult; not simply “all sources are equal.”	Verified primary Sanskrit	bhagavata_four_pramanas	https://vedabase.io/en/library/sb/11/19/17/
52	A	Mahāpurāṇa	Bhāgavata Purāṇa	11.22.9	paurvāparyam ato 'mīṣāṃ prasaṅkhyānam abhīpsatām | yathā viviktaṃ yad vaktraṃ gṛhṇīmo yuktisambhavāt	Among differing analyses, we accept the account that can be distinctly established through reasoning.	Speaker-sensitive grammar is debated; the verse unmistakably invokes yukti.	Verified primary Sanskrit	reason_among_accounts	https://vedabase.io/en/library/sb/11/22/9/
53	B	Mahāpurāṇa	Bhāgavata Purāṇa	11.28.9	pratyakṣeṇānumānena nigamenātmasaṃvidā | ādyantavad asaj jñātvā niḥsaṅgo vicared iha	Through perception, inference, scripture, and inner realization, discern the conditioned world’s transience.	Multiple coordinated modes of knowing.	Verified primary Sanskrit	bhagavata_multi_pramanas	https://vedabase.io/en/library/sb/11/28/9/
54	B	Mahāpurāṇa	Bhāgavata Purāṇa	11.28.18	jñānaṃ viveko nigamas tapaś ca pratyakṣam aitihyam athānumānam | ādyantayor asya yad eva kevalaṃ kālaś ca hetuś ca tad eva madhye	Knowledge, discrimination, scripture, discipline, perception, tradition, inference, time and causation contribute to discernment.	Metaphysical context; not a general modern scientific method.	Verified primary Sanskrit	bhagavata_multi_pramanas	https://vedabase.io/en/library/sb/11/28/18/
55	B	Mahāpurāṇa	Bhāgavata Purāṇa	11.10.4	nivṛttaṃ karma seveta pravṛttaṃ matparas tyajet | jijñāsāyāṃ sampravṛtto nādriyeta karmacodanām	One engaged in inquiry into the highest truth is no longer bound to injunctions aimed at ordinary fruitive action.	Applies to an advanced seeker, not a blanket rejection of ethical rules.	Verified primary Sanskrit	advanced_inquiry	https://vedabase.io/en/library/sb/11/10/4/
56	C	Mahāpurāṇa	Bhāgavata Purāṇa	10.23.9	iti te bhagavadyācñāṃ śṛṇvanto 'pi na śuśruvuḥ | kṣudrāśā bhūrikarmāṇo bāliśā vṛddhamāninaḥ	Ritualists proud of age and many rites ignore the divine request and are called foolish.	Status, age, and ritual volume do not guarantee wisdom.	Verified primary Sanskrit	status_not_wisdom	https://vedabase.io/en/library/sb/10/23/9/
57	C	Mahāpurāṇa	Bhāgavata Purāṇa	7.5.30–31	matir na kṛṣṇe parataḥ svato vā ... andhā yathāndhair upanīyamānās te 'pīśatantryām urudāmni baddhāḥ	Those led by leaders who are themselves blind remain bound, like blind people led by the blind.	Sectarian devotional context; strong image against unqualified leadership.	Verified primary Sanskrit	blind_leading_blind	https://vedabase.io/en/library/sb/7/5/30/
58	A	Mahāpurāṇa	Bhāgavata Purāṇa	5.5.18	gurur na sa syāt svajano na sa syāt pitā na sa syāj jananī na sā syāt | daivaṃ na tat syān na patiś ca sa syān na mocayed yaḥ samupetamṛtyum	One should not assume the role of guru, kin, parent, deity, or spouse if unable to lead the dependent beyond death.	Sets a demanding functional qualification; not permission to disregard any imperfect teacher.	Verified primary Sanskrit	role_requires_capacity	https://vedabase.io/en/library/sb/5/5/18/
59	B	Mahāpurāṇa	Viṣṇu Purāṇa	4.5.5	tato nimeḥ śāpo 'bhūd duṣṭaguroḥ ...	Nimi’s conflict identifies a guru as blameworthy when greed and misconduct displace duty.	Parallel Nimi–Vasiṣṭha narrative; wording differs by edition.	Verified primary Sanskrit; contextual excerpt	nimi_bad_guru	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_viSNupurANa-crit.htm
60	C	Mahāpurāṇa	Nārada Purāṇa	1.9.93–99	śāstrārthajñaṃ guruṃ prāpya vicāraṃ ca samācaret ...	After finding a teacher who knows scripture, the student should undertake reflection.	Context remains strongly traditional and subordinates free-standing tarka; included as a qualified parallel.	Verified primary Sanskrit; excerpt	reflect_with_teacher	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/narp1_u.htm
61	A	Dharmaśāstra	Manusmṛti	12.105–106	pratyakṣaṃ cānumānaṃ ca śāstraṃ ca vividhāgamam | trayaṃ suviditaṃ kāryaṃ dharmaśuddhim abhīpsatā || ārṣaṃ dharmopadeśaṃ ca vedaśāstrāvirodhinā | yas tarkeṇānusaṃdhatte sa dharmaṃ veda netaraḥ	One seeking clarity in dharma must know perception, inference, and diverse scripture; one truly knows dharma by investigating the sages’ teaching with reasoning that does not contradict Veda.	A strong synthesis, but reason is expressly bounded by Vedic consistency.	Verified primary Sanskrit	manu_reason_scripture	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/4_dharma/smrti/manu2p_u.htm
